Case,Gender,Division,Depression,Anxiety,Stress,Satisfaction with Life,+Group,Subgroup,Wellbeing1,Wellbeing2,Wellbeing3,Wellbeing4,Wellbeing5,Wellbeing6,Strength1,Strength2,Strength3,Strength4,Strength5
1,M,Bendigo,40,30,15,28,4,A,0,10,1,3,4,0,3,5,3,3,3
2,F,Adelaide,32,38,40,22,2,C,10,9,6,1,4,0,3,2,4,4,1
3,M,Adelaide,6,32,47,8,3,A,9,7,8,9,4,8,3,1,3,2,5
4,F,Adelaide,18,23,26,33,4,C,4,7,1,6,4,3,3,2,3,2,4
5,M,Adelaide,46,45,25,34,3,A,1,0,2,9,4,2,3,3,5,3,4
6,F,Adelaide,28,47,50,36,4,C,2,5,7,1,4,8,3,5,3,3,5
7,M,Adelaide,7,14,9,31,3,B,4,2,2,6,4,10,3,2,4,5,5
8,F,Adelaide,9,44,33,22,2,B,10,6,0,5,4,7,3,5,3,4,1
9,M,Adelaide,14,21,38,30,3,B,10,6,7,10,4,2,3,2,5,1,5
10,F,Adelaide,10,36,37,5,2,A,6,7,9,0,4,8,3,2,5,1,4
11,M,Adelaide,29,41,48,32,2,C,2,8,8,3,5,7,3,4,1,1,2
12,F,Adelaide,10,18,32,25,1,A,8,7,4,7,5,4,3,4,1,5,5
13,M,Adelaide,16,38,23,49,3,B,3,9,5,2,5,1,3,1,1,5,3
14,F,Adelaide,41,17,20,19,3,C,7,8,10,7,5,1,3,4,2,1,1
15,M,Adelaide,49,23,37,49,3,C,10,8,10,6,5,8,3,2,4,2,5
16,F,Adelaide,28,36,32,22,4,C,7,7,5,4,5,7,3,1,3,1,1
17,M,Adelaide,45,28,19,46,3,C,5,9,2,7,5,9,3,1,2,5,5
18,F,Adelaide,46,15,8,25,2,B,6,3,3,9,5,1,3,4,1,5,4
19,M,Adelaide,37,27,29,28,4,B,3,8,2,2,5,9,3,2,1,2,2
20,F,Adelaide,37,30,28,16,1,A,10,9,8,10,5,4,3,2,1,4,4
21,M,Adelaide,5,9,12,32,1,A,8,7,8,6,5,1,2,3,2,3,5
22,F,Adelaide,18,30,35,27,1,C,3,9,5,4,5,2,2,3,1,4,2
23,M,Adelaide,24,26,14,34,1,A,9,4,0,0,5,10,2,3,3,3,1
24,F,Adelaide,45,13,8,46,2,B,1,4,9,3,5,7,2,3,5,2,3
25,M,Adelaide,43,19,42,9,2,C,7,4,7,10,5,6,2,3,2,3,2
26,F,Adelaide,49,8,30,10,1,B,5,4,6,2,5,4,2,3,5,5,1
27,M,Adelaide,26,40,10,36,2,A,1,4,9,5,6,0,2,3,3,3,3
28,F,Adelaide,47,14,19,34,3,C,10,4,0,3,6,3,2,3,1,1,3
29,M,Adelaide,24,40,48,36,2,B,0,4,6,10,6,2,2,3,1,5,1
30,F,Adelaide,32,37,34,40,3,B,1,4,3,9,6,5,2,3,1,4,1
31,M,Adelaide,28,17,5,14,4,B,5,4,7,8,6,3,3,3,5,5,3
32,F,Adelaide,48,35,15,28,4,C,0,4,5,2,6,6,1,3,3,5,1
